descript,cTimeStamp,userId,postId
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,1998-07-04 03:05:30,57,523
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2011-12-16 07:27:44,97,531
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2006-04-06 05:24:49,28,153
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2014-10-13 11:25:09,84,526
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2003-10-19 01:10:01,68,607
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2001-02-13 04:20:18,2,126
Nihil sane -- 'At si voluptas esset bonum desideraret,2016-02-09 06:28:03,10,321
Ei responsum cum C Triarius in,2011-12-16 02:29:22,85,382
Iucunde Neque enim civitas in seditione beata esse,2008-12-14 06:54:45,22,507
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2002-11-06 12:12:08,33,94
Vel eum iure reprehenderit qui in una virtute,1991-08-05 05:12:05,95,256
Malum dolorem idque instituit docere sic Omne animal simul atque,2018-03-08 09:27:00,88,150
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2012-12-24 04:42:46,35,257
Philosophia defensa et collaudata est cum esset accusata,1991-05-16 12:50:18,88,166
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,1995-05-24 01:40:51,96,177
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2006-08-01 07:35:33,83,589
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1997-01-23 08:35:33,72,368
Ille quidem utrumque Phaedrum autem etiam,2001-08-12 10:53:14,63,70
Ut cognoscerem quoniam mihi ea facultas ut id apte,1993-08-07 10:33:57,30,611
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,1991-10-16 08:07:21,78,331
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2016-04-15 05:44:06,16,267
Earum explicatis et ut dixi ad lineam,2023-07-22 01:32:35,82,316
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2021-09-10 01:52:51,100,10
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2017-07-15 04:26:12,45,60
A natura ipsa iudicari Ea quid percipit aut quid,2017-03-05 08:31:27,20,564
Delectamur cum scribimus quis est tam invidus,1999-08-11 05:14:06,28,293
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2008-09-25 11:13:38,72,377
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2019-12-26 09:51:58,9,533
Iucundo motu voluptatis Sin autem summa voluptas,1995-05-19 07:07:49,39,484
Malint modo legant illa ipsa ne simulent et,2022-06-25 08:22:29,5,49
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,1990-06-16 02:44:36,19,256
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2011-01-17 09:50:15,90,46
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,2005-02-10 10:58:03,42,359
Sunt qua ante quam nati et ad eos,2005-03-26 11:36:53,44,361
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2006-08-07 05:22:35,8,277
Divina illa ingenia transferrem Sed id,2009-02-06 12:32:18,4,180
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,1992-04-22 08:12:22,68,469
Servire qui vel utrisque litteris uti velint vel si suas habent,2009-04-01 12:33:19,68,446
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,1991-03-06 02:50:05,43,4
Et ortum esse e corpore et ad corpus referri,2016-09-15 09:15:33,57,20
Ponatur sed sine hoc institutionem omnino,1990-08-20 08:54:33,68,492
Ne simulent et iis servire qui vel,2012-12-01 03:55:54,27,84
Laetamur iis quae recordamur Stulti autem malorum memoria,1998-02-10 04:41:18,69,443
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2001-02-14 01:11:45,19,456
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2020-07-23 10:41:16,10,200
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2000-01-01 09:12:39,70,94
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,1997-07-17 09:30:20,39,547
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2006-04-10 08:35:34,92,14
Non placuit Epicuro medium esse quiddam inter dolorem,1999-02-03 08:09:16,36,555
Nec medium nec ultimum nec extremum sit ita ferri ut,2008-02-09 07:32:14,6,90
Rerum facilis est et ad usus civium non inutile nosque,2010-04-10 12:11:58,14,531
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2014-07-22 08:11:24,20,32
Nisi nescio quam illam umbram quod appellant honestum non,2021-06-25 07:01:54,70,318
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2009-05-24 10:02:21,47,474
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,2019-10-06 10:49:43,41,392
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2021-06-17 02:35:51,37,326
Libris quaeritur qui sit finis quid,2021-02-25 04:37:58,48,269
Plurimum afferat Nam diligi et carum esse iucundum,2012-02-27 10:57:46,5,470
Tantum enim esse censet quantus videtur,2020-08-21 11:20:51,3,163
Malum est vivere cum dolore,1991-09-22 08:37:09,94,608
De finibus bonorum et malorum fere a,1994-12-24 11:34:03,64,38
Nihil afferrent quo iucundius id est voluptatem et dolorem,2016-06-08 10:04:34,87,503
Morbis impediri necesse est Animi autem morbi sunt cupiditates,2005-07-16 11:35:37,36,269
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,1990-04-20 06:33:21,66,290
Ferrentur et ut dixi ad lineam numquam fore ut,2011-02-24 11:16:30,13,261
Iudicium retinent ne voluptate victi faciant id quod propositum,2000-08-26 09:33:03,38,383
Et urbane Stoicos irridente statua est in eo quod,2007-04-05 10:50:32,44,468
Non inviti legant Quis enim tam,1994-11-06 05:25:11,63,39
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,2002-10-10 08:53:23,18,163
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2004-10-23 05:07:49,19,454
Beatus Multoque hoc melius nos veriusque quam Stoici,1994-05-10 02:59:16,35,345
Est nihil desiderare manum cum ita esset affecta secundum non recte si,2003-12-17 11:43:16,33,465
Meis civibus si ad eorum cognitionem divina illa ingenia,2020-07-24 08:27:21,24,336
Vindicet et ipsius fortunae modice ferre doceat iniurias,2019-12-25 01:59:51,88,271
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2023-06-09 01:48:28,73,264
Epicuri sententia de voluptate a meque ei responsum,2019-09-14 09:30:16,77,591
Etiam oportet in eo quod semel admissum coerceri reprimique,2001-04-19 09:47:08,27,188
Iis servire qui vel utrisque litteris uti velint vel,2021-03-23 05:47:01,41,87
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,2001-09-07 04:45:32,77,292
Nec quid eventurum sit provident ob eamque causam propter voluptatem,2022-11-09 11:06:42,73,13
Quem ad modum sit affectus eum necesse,2011-09-22 03:26:25,96,235
Cum eas voluptates quae ad amicos pertinerent negarent,1997-12-10 06:18:55,99,255
Desideraret quia quod dolore caret id in hominum,2000-07-05 08:51:09,48,11
Sunt sic inprobitas si cuius in mente consedit,1999-04-03 04:31:30,96,401
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2000-07-26 02:46:44,73,115
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2018-10-11 12:12:44,2,90
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2008-03-03 04:45:55,11,595
