descript,pTimeStamp,userId,locationName
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2010-07-14 07:06:47,57,Sylvicapra grimma
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2005-07-09 12:20:33,97,Redunca redunca
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2014-02-14 12:03:40,28,Sylvicapra grimma
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,1998-12-22 02:46:35,84,Chloephaga melanoptera
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,1991-09-28 03:28:12,68,Chlamydosaurus kingii
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2016-03-10 09:19:44,2,Redunca redunca
Nihil sane -- 'At si voluptas esset bonum desideraret,2011-06-07 07:0:22,10,Falco mexicanus
Ei responsum cum C Triarius in,2018-05-25 02:26:46,85,Falco mexicanus
Iucunde Neque enim civitas in seditione beata esse,2010-02-07 07:59:38,22,Redunca redunca
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,1997-10-10 10:03:55,33,Chauna torquata
Vel eum iure reprehenderit qui in una virtute,2022-06-15 11:54:25,95,Lama glama
Malum dolorem idque instituit docere sic Omne animal simul atque,1996-07-10 05:20:52,88,Lamprotornis nitens
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2011-07-13 01:0:24,35,Dendrohyrax brucel
Philosophia defensa et collaudata est cum esset accusata,2004-09-30 08:57:05,88,Canis mesomelas
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,1995-02-11 01:15:50,96,Dendrohyrax brucel
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2013-09-06 10:52:52,83,Spermophilus parryii
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1993-11-24 12:27:35,72,Tiliqua scincoides
Ille quidem utrumque Phaedrum autem etiam,2008-03-16 03:27:32,63,Deroptyus accipitrinus
Ut cognoscerem quoniam mihi ea facultas ut id apte,2000-07-15 02:32:03,30,Notechis semmiannulatus
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,1991-04-18 07:0:24,78,Drymarchon corias couperi
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2006-05-27 01:33:02,16,Felis caracal
Earum explicatis et ut dixi ad lineam,2000-05-02 11:23:34,82,Lamprotornis nitens
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,1994-11-24 01:14:59,100,Ciconia episcopus
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2021-03-01 04:13:33,45,Corvus albicollis
A natura ipsa iudicari Ea quid percipit aut quid,2021-08-20 08:42:25,20,Crotalus triseriatus
Delectamur cum scribimus quis est tam invidus,2023-01-28 04:42:41,28,Sylvicapra grimma
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2019-02-19 06:40:41,72,Fregata magnificans
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2006-08-30 01:13:23,9,Phascogale calura
Iucundo motu voluptatis Sin autem summa voluptas,1994-10-15 10:06:57,39,Lamprotornis nitens
Malint modo legant illa ipsa ne simulent et,2023-12-03 01:19:40,5,Deroptyus accipitrinus
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,2000-10-27 05:44:22,19,Dasypus novemcinctus
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,1995-04-12 12:33:13,90,Bucorvus leadbeateri
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,2005-10-23 05:47:38,42,Lama glama
Sunt qua ante quam nati et ad eos,1997-07-18 09:56:20,44,Deroptyus accipitrinus
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,1997-03-04 05:24:38,8,Ciconia episcopus
Divina illa ingenia transferrem Sed id,1990-03-16 10:28:22,4,Damaliscus lunatus
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,2004-03-20 07:54:13,68,Conolophus subcristatus
Servire qui vel utrisque litteris uti velint vel si suas habent,2008-09-27 09:25:49,68,Drymarchon corias couperi
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,2006-04-16 08:59:29,43,Canis aureus
Et ortum esse e corpore et ad corpus referri,2009-07-28 11:38:13,57,Redunca redunca
Ponatur sed sine hoc institutionem omnino,1991-01-15 03:18:37,68,Falco mexicanus
Ne simulent et iis servire qui vel,2009-11-12 01:32:58,27,Semnopithecus entellus
Laetamur iis quae recordamur Stulti autem malorum memoria,2022-05-03 03:15:21,69,Lamprotornis nitens
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2010-09-20 12:14:34,10,Sula dactylatra
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2006-10-13 08:59:33,70,Larus dominicanus
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,1998-06-04 11:40:08,39,Chelodina longicollis
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2022-12-17 05:20:36,92,Erethizon dorsatum
Non placuit Epicuro medium esse quiddam inter dolorem,2003-01-18 01:28:49,36,Corvus albicollis
Nec medium nec ultimum nec extremum sit ita ferri ut,2011-02-25 04:36:21,6,Chloephaga melanoptera
Rerum facilis est et ad usus civium non inutile nosque,1995-08-02 11:10:14,14,Deroptyus accipitrinus
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2001-02-03 03:13:29,20,Erethizon dorsatum
Nisi nescio quam illam umbram quod appellant honestum non,2009-08-03 08:52:55,70,unavailable
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2014-09-28 05:31:09,47,Dasypus novemcinctus
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,2000-03-12 07:08:39,41,Cercatetus concinnus
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2018-06-13 11:56:41,37,Cyrtodactylus louisiadensis
