riskType,riskDescription,locationName
Tides,Incommoda quae eveniunt inprobis fugiendam inprobitatem putamus sed multo,Cercatetus concinnus
Wavy,Consedit hoc ipso quod adest turbulenta est si vero molita,Eurocephalus anguitimens
Shark,Quod tranquillat animos tum spe nihil earum,Phalacrocorax carbo
Extreme Waves,Diceret Aliena dixit in physicis nec ea ipsa quae tibi probarentur,Larus dominicanus
Waves ,Iucunde Neque enim civitas in seditione beata esse potest nec,Chionis alba
Extreme Waves,Inter se ex quo efficeretur mundus omnesque partes mundi quaeque in eo quoque elaborare,Agama sp.
Extreme Waves,Personae tamen et dignitatis esse negent Contra quos omnis dicendum breviter,Rangifer tarandus
Extreme Waves,Amicitia cum voluptate conectitur Nam et praeterita et futura Ut enim ad,Anhinga rufa
Extreme Waves,Corrigere voluit deteriora fecit Disserendi artem nullam habuit Voluptatem,Coluber constrictor
Extreme Waves,Dicent ab illis has res esse tractatas,Bettongia penicillata
Rocks,Nihil ut de utilitatibus nihil ut de commodis,Canis aureus
Extreme Waves,Quam utramque Menandri legam A quibus tantum dissentio,Drymarchon corias couperi
Extreme Waves,Mundi quaeque in eo ipso parum vidit deinde hoc quoque alienum,Myiarchus tuberculifer
Sharks,Vivendi putanda est non expeteretur si nihil efficeret nunc expetitur quod,Felis caracal
Tides,Laetitia si bona O praeclaram beate vivendi et apertam et simplicem,Bettongia penicillata
Rip Tide,Quibus nostra ignota sunt An 'Utinam ne,Connochaetus taurinus
Rip Tide,Hic tenetur a sapiente delectus ut aut voluptates omittantur maiorum,Melanerpes erythrocephalus
Rocks,Libidinem fingitur -- ait enim declinare atomum sine,Falco mexicanus
Rip Tide,Te sicut nostrum Triarium minus ab eo ortum tam,Dasypus novemcinctus
Rocks,Stulti autem malorum memoria torquentur sapientes bona praeterita non meminerunt praesentibus non fruuntur,Connochaetus taurinus
Extreme Weather,Ratio docet tum denique poterit aliquid cognosci,Meleagris gallopavo
Tide,Desiderent Sive enim ad minima veniam quis nostrud exercitation,Papio cynocephalus
Rip Tide,Fore levius aliquando nulla praeterea neque praesenti nec expectata voluptate quid eo miserius dici,Dipodomys deserti
Waves ,Ignem nivem esse albam dulce mel Quorum nihil oportere exquisitis rationibus,Lamprotornis nitens
Waves ,Partis confirmatur animus et excelsus omni est,Eurocephalus anguitimens
Tide,Amicitia et amicitia cum voluptate vivere Nec enim,Antidorcas marsupialis
Sharks,An me inquam nisi te audire vellem censes haec dicturum fuisse,Redunca redunca
Rocks,Consequuntur voluptates quarum potiendi spe inflammati multos,Corvus brachyrhynchos
Waves ,Ab hoc qui eum unum secutus esset nollem vituperatum Iam in,Coluber constrictor
Extreme Waves,Forensibus operis laboribus periculis non deseruisse mihi videor praesidium in,Chauna torquata
Tide,Dolorum fuga Et harum quidem rerum facilis est et ab Epicuro sapiens semper beatus,Notechis semmiannulatus
Extreme Waves,Pleniorem efficit Itaque non ob ea solum incommoda quae,Felis caracal
Extreme Weather,Compositis quid est quod nullam eruditionem esse duxit nisi quae beatae,Cacatua tenuirostris
Rocks,Iudex Multi etiam ut te consule ipsi se indicaverunt Quodsi qui satis sibi contra,Meleagris gallopavo
Extreme Waves,Nullo a principio sed ex aeterno tempore,Phalacrocorax niger
Tide,Haec dicturum fuisse Utrum igitur percurri omnem Epicuri disciplinam,Meleagris gallopavo
Extreme Waves,Chrysippo praetermissum in Stoicis Legimus tamen Diogenem Antipatrum,Ephippiorhynchus mycteria
