waveSize,wTimeStamp,precipitation,windSpeed,locationName
18.23,2000-04-15 10:33:27,0,11.16,Redunca redunca
18.74,2012-12-14 11:16:55,1,12.74,Ciconia episcopus
16.82,2002-11-07 07:38:31,1,6.39,Oxybelis sp.
2.78,2011-12-22 06:37:19,1,24.73,Corvus brachyrhynchos
20.74,1999-03-04 06:57:22,0,4.43,Meleagris gallopavo
5.56,2023-11-18 10:21:59,1,12.51,Papio cynocephalus
15.65,2003-01-05 10:42:50,0,5.49,Ephippiorhynchus mycteria
19.85,1992-12-24 02:58:45,1,24.42,Gopherus agassizii
12.26,1999-07-08 07:48:47,0,18.9,Tiliqua scincoides
9.69,1991-10-05 05:03:40,0,19.2,Dipodomys deserti
5.49,2012-12-11 06:43:19,1,0.77,Phalacrocorax niger
24.15,2006-10-11 06:55:29,0,2.75,Tiliqua scincoides
2.78,2013-08-16 02:50:40,0,11.21,Lamprotornis nitens
24.35,2004-05-06 09:40:58,1,19,Eudyptula minor
20.15,2017-12-22 08:01:12,0,12.65,Bucorvus leadbeateri
17.86,2020-03-26 08:26:05,1,8.52,Eudyptula minor
10.37,2016-06-01 04:50:54,1,19.8,Bradypus tridactylus
13.79,2017-04-14 12:33:49,1,22.76,Rangifer tarandus
4.8,1996-12-17 10:29:03,0,19.31,Bubalus arnee
11.74,2016-09-16 03:09:13,1,14.93,Bucorvus leadbeateri
5.53,1990-03-15 08:56:41,1,15.78,Vanellus sp.
3.67,2014-08-07 12:36:07,1,19.97,Myiarchus tuberculifer
16.86,2003-10-09 08:36:59,0,13.92,Naja nivea
24.1,2007-09-20 12:40:19,0,22.93,Bubalus arnee
23.07,1992-04-11 06:06:13,0,7.67,Eudyptula minor
19.55,1994-02-14 06:10:54,1,22.62,Meleagris gallopavo
8.67,2012-12-24 09:10:03,0,15.92,Papio cynocephalus
4.47,2021-12-27 02:08:28,1,24.12,Vanellus sp.
19.57,2005-09-06 02:03:39,0,20.33,Buteo jamaicensis
8.43,1993-04-23 06:21:18,0,1.12,Chloephaga melanoptera
14.58,2003-07-24 05:27:58,1,17.14,Gymnorhina tibicen
0.94,2019-08-20 11:08:39,0,18.22,Haematopus ater
3.13,2016-04-14 02:21:07,1,11.13,Chloephaga melanoptera
17.25,2012-12-26 06:52:53,1,20.15,Redunca redunca
24.21,2006-02-11 06:51:31,1,0.1,Erethizon dorsatum
24.11,2023-05-18 12:56:31,1,13.59,Agama sp.
11.97,1999-06-19 10:54:44,1,23.8,Acridotheres tristis
10.08,2023-01-23 01:46:13,0,6.62,Mirounga angustirostris
0.4,2022-04-16 10:13:43,0,9.92,Canis aureus
13,1999-04-18 11:17:08,0,10.3,Tiliqua scincoides
21.66,1999-04-09 08:25:38,1,20.26,Cynomys ludovicianus
22.43,2014-11-17 09:29:07,0,8.74,Estrilda erythronotos
19.4,2004-10-22 03:40:03,1,2.84,Deroptyus accipitrinus
20.75,2019-08-22 01:12:04,0,2.06,Sylvicapra grimma
20.96,2023-05-25 08:20:11,0,3.28,Fregata magnificans
5.08,2004-10-05 07:46:23,1,23.61,Agama sp.
15.4,2005-01-23 05:12:15,1,3.77,Chionis alba
6.41,1996-05-04 06:45:20,0,13.57,Gymnorhina tibicen
19.08,1997-03-25 06:15:56,0,6.95,Cyrtodactylus louisiadensis
9.62,2017-12-16 10:53:02,1,12.86,Coluber constrictor
19.86,2023-03-26 05:42:55,0,17.85,Paradoxurus hermaphroditus
15.74,2001-12-08 05:09:39,0,14.5,Conolophus subcristatus
12.12,2015-05-09 06:35:48,0,15.87,Erethizon dorsatum
11.87,1998-08-03 12:13:54,1,13.14,Erethizon dorsatum
18.04,2007-02-24 12:43:23,0,14.74,Gopherus agassizii
16.43,1998-02-14 07:44:10,0,10.38,Chelodina longicollis
3.43,2003-08-12 01:41:53,0,3.63,Papio cynocephalus
1.88,1995-11-20 02:48:56,0,0.09,Pseudalopex gymnocercus
13.12,2012-10-23 11:20:01,0,12.44,Pseudalopex gymnocercus
10.56,2003-10-22 10:20:14,1,12.26,Ephippiorhynchus mycteria
14.45,1994-03-15 12:51:19,1,4.05,Bucorvus leadbeateri
5.86,1996-05-26 01:45:30,0,22.56,Chloephaga melanoptera
7.31,1990-12-19 12:49:27,1,7.56,Crotalus triseriatus
22.72,2013-05-25 06:52:05,0,7.7,Rangifer tarandus
10.77,2001-05-11 04:07:02,0,18.71,Chlamydosaurus kingii
8.54,2006-12-04 05:31:32,1,3.34,Mirounga angustirostris
2.72,2003-12-23 09:12:58,0,9.04,Colobus guerza
5.94,1993-02-05 04:24:14,1,23.18,Fregata magnificans
18.5,2005-02-25 01:23:34,0,20.44,Paradoxurus hermaphroditus
24.29,2019-03-08 01:40:45,0,12.15,Conolophus subcristatus
9.33,2017-05-27 11:44:46,1,21.61,Notechis semmiannulatus
8.02,2004-09-23 08:46:03,1,20.12,Coluber constrictor
1.57,2007-12-12 02:01:50,1,8.68,Chloephaga melanoptera
12.26,2010-05-14 05:10:51,0,2.81,Eudyptula minor
5.34,2003-07-16 12:09:16,1,24.5,Damaliscus lunatus
9.66,1993-05-12 02:06:58,1,8.76,Meleagris gallopavo
10.21,2007-08-05 01:01:19,0,3.11,Semnopithecus entellus
8.17,1996-12-02 01:33:15,1,1.47,Spermophilus parryii
10.43,2014-01-02 11:29:04,1,3.79,Gymnorhina tibicen
4.45,2015-11-07 07:38:02,1,16.16,Chionis alba
18.72,2001-10-12 09:44:52,1,16.51,Damaliscus lunatus
0.8,2004-11-06 03:53:52,0,12.16,Gopherus agassizii
23.73,2005-05-22 02:26:29,0,7.38,Dasypus novemcinctus
19.46,2005-04-21 06:25:22,0,21.45,Erethizon dorsatum
18.39,2019-11-09 12:50:01,1,14.75,Semnopithecus entellus
22.41,2022-03-01 02:22:22,1,13.31,Fregata magnificans
14.77,2020-04-15 04:17:03,1,8.24,Acridotheres tristis
4.38,2001-11-27 01:32:10,0,18.43,Phalacrocorax carbo
1.72,1992-07-01 11:08:08,0,24.27,Drymarchon corias couperi
20.15,1994-10-23 12:35:21,1,3.3,Canis mesomelas
23.21,1990-06-27 12:09:52,1,10.63,Lamprotornis nitens
22.84,2012-03-08 12:56:44,0,13.25,Deroptyus accipitrinus
2.42,2003-03-12 03:13:46,0,3.82,Paradoxurus hermaphroditus
18.74,1995-12-22 10:41:26,1,6.85,Acridotheres tristis
1.48,2008-02-21 05:56:56,1,8.99,Ephippiorhynchus mycteria
18.33,2012-04-13 12:22:05,1,6.06,Acridotheres tristis
6.29,1992-04-24 04:51:48,1,21.99,Meleagris gallopavo
1.27,2022-10-18 10:43:10,1,3.35,Antidorcas marsupialis
10.39,2005-07-25 06:45:55,1,14.09,Damaliscus lunatus
2.08,1995-05-19 06:55:32,1,2.42,Buteo jamaicensis
23.82,2003-10-01 10:54:54,0,19.76,Redunca redunca
21.08,2007-06-27 02:33:21,1,20.91,Fregata magnificans
18.75,2000-06-05 11:55:20,1,16.67,Spermophilus parryii
23.07,2022-08-22 06:16:28,1,13.8,Pterocles gutturalis
16.6,2012-11-18 12:57:53,0,6.93,Phalacrocorax carbo
14.59,1990-06-24 07:25:54,1,3.59,Chloephaga melanoptera
10.35,2023-11-14 10:53:10,0,20.83,Chelodina longicollis
9.03,2000-08-05 09:41:40,1,18.51,Pterocles gutturalis
10.01,2013-03-06 09:16:54,0,7.92,Buteo jamaicensis
17.75,1992-06-04 09:20:19,0,3.38,Alligator mississippiensis
13.49,2023-04-26 08:48:05,1,21,Eudyptula minor
7.44,1999-06-08 12:56:04,0,16.35,Redunca redunca
24.99,1993-02-08 06:09:15,0,14.99,Cercatetus concinnus
0.97,2014-07-22 01:17:55,1,8.46,Anhinga rufa
5.31,2006-07-01 06:45:03,0,23.98,Sylvicapra grimma
22.34,2008-04-03 01:55:30,1,11.56,Anhinga rufa
21.5,1995-04-11 06:29:53,1,7.79,Buteo jamaicensis
5.65,2015-07-18 05:01:45,1,19,Canis aureus
0.56,1993-10-24 03:09:49,0,8.3,Chelodina longicollis
6.55,2022-08-06 02:40:44,1,8.29,Eurocephalus anguitimens
12.04,2003-11-21 04:54:58,1,8.64,Cyrtodactylus louisiadensis
3.59,2006-04-17 09:06:0,1,4.21,Ciconia episcopus
18.96,2017-02-02 02:49:35,0,12.01,Connochaetus taurinus
10.46,2006-12-21 10:09:24,0,6.07,Rangifer tarandus
18.23,1992-12-17 01:32:33,0,4.11,Papio cynocephalus
19.27,1997-11-26 10:08:37,1,2.34,Ephippiorhynchus mycteria
12.91,2021-08-22 02:45:31,0,8.51,Sylvicapra grimma
1.95,2022-06-06 03:44:51,1,19.84,Colobus guerza
1.7,2019-01-13 08:46:25,0,20.96,Pseudalopex gymnocercus
